Step,Value,Set,Label
19380,0.639022409915924,train,accuracy
19588,0.636885702610016,train,accuracy
19796,0.635016024112701,train,accuracy
20004,0.638888895511627,train,accuracy
20212,0.635550200939178,train,accuracy
20420,0.635416686534882,train,accuracy
20628,0.642761766910553,train,accuracy
20836,0.635950863361358,train,accuracy
21048,0.627060055732727,train,accuracy
21256,0.63528311252594,train,accuracy
21464,0.639957249164581,train,accuracy
21672,0.633413434028626,train,accuracy
21880,0.631543815135956,train,accuracy
22088,0.638888895511627,train,accuracy
22296,0.643563032150269,train,accuracy
22504,0.639690160751343,train,accuracy
22712,0.641693353652954,train,accuracy
22920,0.638755321502685,train,accuracy
23132,0.639021813869476,train,accuracy
23340,0.635416686534882,train,accuracy
23548,0.634615361690521,train,accuracy
23756,0.623530983924866,train,accuracy
23964,0.634214758872986,train,accuracy
24172,0.640491425991058,train,accuracy
24380,0.638087630271912,train,accuracy
24588,0.636217951774597,train,accuracy
24796,0.641292750835419,train,accuracy
25004,0.641292750835419,train,accuracy
25216,0.649122834205627,train,accuracy
25424,0.629006385803223,train,accuracy
25632,0.642361104488373,train,accuracy
25840,0.638488233089447,train,accuracy
26048,0.64102566242218,train,accuracy
26256,0.636485040187836,train,accuracy
26464,0.633146345615387,train,accuracy
26672,0.637820541858673,train,accuracy
26880,0.637019217014313,train,accuracy
27088,0.635550200939178,train,accuracy
27300,0.64393937587738,train,accuracy
27508,0.620726466178894,train,accuracy
27716,0.637152791023254,train,accuracy
27924,0.639957249164581,train,accuracy
28132,0.632879257202148,train,accuracy
28340,0.635817289352417,train,accuracy
28548,0.636351466178894,train,accuracy
28756,0.645699799060822,train,accuracy
28964,0.645833313465118,train,accuracy
29172,0.636885702610016,train,accuracy
29384,0.636097848415375,train,accuracy
29592,0.632478654384613,train,accuracy
29800,0.633279919624329,train,accuracy
30008,0.635817289352417,train,accuracy
30216,0.642361104488373,train,accuracy
30424,0.637419879436493,train,accuracy
30632,0.643429458141327,train,accuracy
30840,0.645299136638641,train,accuracy
31048,0.635950863361358,train,accuracy
31256,0.635950863361358,train,accuracy
0,48.4000015258789,validation,accuracy
1,55.5999984741211,validation,accuracy
2,51.5999984741211,validation,accuracy
3,60.4000015258789,validation,accuracy
4,58.5999984741211,validation,accuracy
5,57.7999992370606,validation,accuracy
6,59.2000007629395,validation,accuracy
7,59.2000007629395,validation,accuracy
8,58.5999984741211,validation,accuracy
9,58.4000015258789,validation,accuracy
10,59,validation,accuracy
11,59.5999984741211,validation,accuracy
12,59.2000007629395,validation,accuracy
13,59,validation,accuracy
14,58.7999992370605,validation,accuracy
0,1.17383432388306,validation,loss
1,1.08635997772217,validation,loss
2,1.09734523296356,validation,loss
3,0.97986501455307,validation,loss
4,0.981334507465362,validation,loss
5,1.0031076669693,validation,loss
6,0.969797849655151,validation,loss
7,0.97057032585144,validation,loss
8,0.967862248420715,validation,loss
9,0.969730854034424,validation,loss
10,0.968296706676483,validation,loss
11,0.969224750995636,validation,loss
12,0.969296455383301,validation,loss
13,0.968240261077881,validation,loss
14,0.972295343875885,validation,loss
